NUMBER,NAME,MISSION,STAGE 1,STAGE 2,STAGE 3, STAGE 4,STAGE 5,STAGE 6,BOSS,DONE
1,"Punishment, Thy Name is Ruin",DDDDD(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Sonic and Diablon,TRUE
2,Prologue to World Conquest,DDDDD(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Black Doom,TRUE
3,The March to a Darker World,DDDDN(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,Black Comet,Sonic and Diablon,TRUE
4,The Ultimate Ego,DDDDN(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,The ARK,Black Comet,Egg Dealer,TRUE
5,Purification via Ruination,DDDHD(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
6,Apogee of Darkness,DDDHD(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
7,True Soldier of Destruction,DDDHN(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Black Comet,Sonic and Diablon,FALSE
8,Believe in Yourself,DDDHN(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Black Comet,Egg Dealer,FALSE
9,An Android�s Determination,DDDHH(D),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer,FALSE
10,"For Machine, By Machine...",DDDHH(H),Westopolis,Digital Circuit,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer,FALSE
11,Revenge at Last,DDNDD(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon,FALSE
12,Ego�s Awakening,DDNDD(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Black Doom,FALSE
13,Destruction and Scorn,DDNDN(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,Black Comet,Sonic and Diablon,FALSE
14,The Last Remaining Purpose,DDNDN(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,The ARK,Black Comet,Egg Dealer,FALSE
15,The Nightmare�s Insulation,DDNND(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
16,The Nightmare�s Sublimation,DDNND(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
17,The Loner�s Choice,DDNNN(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Black Comet,Sonic and Diablon,FALSE
18,Subjugation in Black,DDNNN(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Black Comet,Egg Dealer,TRUE
19,Replica�s Depression,DDNNH(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer,FALSE
20,"Machine, Machine",DDNNH(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer,TRUE
21,Disciple from the Darkness,DDNHD(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
22,Beloved Clone,DDNHD(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Egg Dealer,TRUE
23,Revenge Upon the Doctor,DDNHN(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
24,The Ultimate Replica,DDNHN(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
25,Sanction�s Demise,DDNHH(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
26,Along With My Home,DDNHH(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Black Doom,FALSE
27,The Cleansing of Darkness,DDHDD(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
28,Birth of a God,DDHDD(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
29,The Last Soldier�s Grim Fate,DDHDN(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon,TRUE
30,Isolation and Solitude,DDHDN(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Egg Dealer,FALSE
31,Archimedes and the Tortoise,DDHDH(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
32,Where Is My Happiness?,DDHDH(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
33,Seduced By Taste of Blood,DDHND(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
34,A Machine Made for War,DDHND(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Egg Dealer,FALSE
35,Original Definition,DDHNN(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
36,Machine Paradise,DDHNN(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
37,Last Will and Testament,DDHNH(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
